name,description,section
FLEECE OVERSHIRT,regular fit overshirt lapel collar and long sleeves with buttoned cuffs chest patch pockets front button closure,MAN
PLAID OVERSHIRT,relaxed fit overshirt lapel collar and long sleeves with buttoned cuffs chest patch pockets front button closure,MAN
WASHED EFFECT TECHNICAL OVERSHIRT,regular fit technical fabric overshirt with lightly padded interior that has undergone a special dyeing and washing process to give it a unique look for this reason the color may differ slightly from that seen in the photo lapel collar and long sleeves with buttoned cuffs side inseam pockets at hip front button closure origins special collection,MAN
PRINTED DENIM OVERSHIRT,boxy fit overshirt lapel collar and short sleeves front snap button closure,MAN
STRUCTURED TWILL OVERSHIRT,regular fit overshirt made of wool fabric lapel collar and long sleeves with buttoned cuffs patch pocket at chest and side pockets at hip side vents at hem front button closure,MAN
COTTON OVERSHIRT,relaxed fit overshirt made with cotton fabric lapel collar and long sleeves with buttoned cuffs flap patch pockets at chest and side hip pockets front button closure,MAN
REVERSIBLE PLAID OVERSHIRT,relaxed fit reversible overshirt italian collar and long sleeves with buttoned cuffs chest patch pocket front button closure,MAN
PLAID OVERSHIRT,relaxed fit overshirt made with cotton fabric lapel collar and long sleeves with buttoned cuffs patch pockets at hip washed effect front button closure,MAN
POCKET OVERSHIRT,relaxed fit overshirt lapel collar and long sleeves with adjustable button cuffs welt pockets at hip front zip hidden by a snap button flap,MAN
100% LINEN OVERSHIRT,relaxed fit overshirt made of linen fabric lapel collar and long sleeves with buttoned cuffs chest patch pockets front button closure,MAN
PLAID OVERSHIRT,relaxed fit overshirt made of viscose blend fabric lapel collar and long sleeves with buttoned cuffs chest patch pocket front button closure,MAN
POCKET DENIM OVERSHIRT,boxy fit overshirt lapel collar and long sleeves with buttoned cuffs chest patch pockets washed effect front button closure,MAN
FAUX SUEDE OVERSHIRT,relaxed fit overshirt lapel collar and long sleeves chest patch pocket front snap button closure,MAN
PLAID OVERSHIRT,regular fit overshirt lapel collar and long sleeves with buttoned cuffs front zip closure,MAN
TEXTURED POCKET OVERSHIRT,overshirt made of diagonal textured cotton fabric lapel collar and long sleeves with buttoned cuffs patch pockets at hip front button closure,MAN
POCKET OVERSHIRT,relaxed fit overshirt made of wool fabric lapel collar and long sleeves with buttoned cuffs patch pocket at chest and side pockets at hip front button closure,MAN
OVERSHIRT,relaxed fit overshirt made of stretch fabric lapel collar and long sleeves with buttoned cuffs chest patch pocket front button closure,MAN
PLAID OVERSHIRT,cropped overshirt lapel collar and long sleeves with buttoned cuffs chest patch pocket irregular trim front button closure,MAN
POCKET OVERSHIRT,overshirt with lapel collar and long sleeves with buttoned cuffs chest patch pocket front button closure,MAN
ZIPPERED WOOL BLEND OVERSHIRT,relaxed fit overshirt made of wool blend fabric lapel collar and long sleeves with buttoned cuffs welt pockets at hip front zip closure,MAN
GEOMETRIC JACQUARD OVERSHIRT,relaxed fit overshirt made with cotton fabric lapel collar and long sleeves with buttoned cuffs welt pockets at hip front button closure,MAN
PAINT PRINT OVERSHIRT,relaxed fit overshirt lapel collar and long sleeves with snap button cuffs chest patch pockets side vents at hem front snap button closure,MAN
PADDED CORDUROY OVERSHIRT,overshirt with quilted interior lapel collar and long sleeves with buttoned cuffs flap patch pockets at chest and inseam pockets at side hip front snap button closure,MAN
PLAID TIE DYE OVERSHIRT,regular fit overshirt made of cotton lapel collar and long sleeves with buttoned cuffs chest patch pockets front button closure,MAN
OVERSHIRT WITH CONTRASTING TOPSTITCHING,relaxed fit overshirt made with cotton fabric lapel collar and long sleeves with buttoned cuffs chest patch pocket contrasting topstitching all over the garment front button closure,MAN
QUILTED STRUCTURED OVERSHIRT,regular fit overshirt with quilted interior lapel collar and long sleeves with buttoned cuffs patch pockets at chest and welt pockets at hip front button closure,MAN
TECHNICAL OVERSHIRT,regular fit overshirt with lightly padded interior lapel collar and long sleeves with buttoned cuffs flap pockets at hip front button closure,MAN
PLAID OVERSHIRT,relaxed fit overshirt lapel collar and long sleeves with buttoned cuffs chest patch pocket front button closure,MAN
WOOL BLEND OVERSHIRT,overshirt made of italian wool blend fabric lapel collar and long sleeves side inseam welt pockets interior pocket front zip closure origins special collection,MAN
EXPLORER BACKPACK,explorer style backpack soft construction made of technical fabric main compartment with drawstring and flap with sporty closure large central interior open pocket and two medium pockets at sides interior zipper to access main compartment two mesh pockets at sides and two straps to adjust the size of the backpack flap features two pockets with zipper closure back features two adjustable straps for carrying accessories like mats jackets etc handle and two adjustable breathable shoulder straps ergonomic breathable back for more comfort during use removable band with two pockets with lower zipper closure adjustable chest strap with clip closure and whistle ideal for hiking zara athleticz height x length x width x x inches x x cm,MAN
